Step,Time,Position_X,Position_Y,Position_Z,Tracking_Error_Norm,Control_Input_X,Control_Input_Y,Control_Input_Z
1.7800000000000007,8.659640785,7.381265,1.6223502,2.5055254,0.21632962,0.20172706,-0.83304876,-0.023638733
1.7900000000000007,8.772378332,7.4003263,1.5417353,2.504537,0.20947576,0.19376409,-0.85436636,-0.022878183
1.8000000000000007,8.873494131,7.437898,1.4335018,2.5031414,0.21773082,0.1687496,-0.8451938,-0.021786435
1.8100000000000007,8.967267323,7.437898,1.4335018,2.5031414,0.23374815,0.17207599,-0.917132,-0.021804556
1.8200000000000007,9.087797813,7.486488,1.2392628,2.4962873,0.19205135,0.13603842,-0.8547733,-0.016337166
1.8300000000000007,9.183669898,7.503676,1.1440511,2.4914625,0.18268897,0.122893125,-0.8524006,-0.012460941
1.8400000000000007,9.300506141,7.520864,1.0488392,2.4868793,0.17260928,0.10835663,-0.86612976,-0.008753391
1.8500000000000008,9.397824294,7.530009,0.94823676,2.4814253,0.157958,0.098868795,-0.86054003,-0.004327473
1.8600000000000008,9.509185766,7.541027,0.8622311,2.4755158,0.14005774,0.08611416,-0.8772359,0.00049058534
1.8700000000000008,9.62828365,7.542129,0.75623786,2.4702566,0.124071814,0.07921766,-0.88370395,0.0048171915
1.8800000000000008,9.749699295,7.559317,0.66102606,2.4659474,0.12112177,0.05742851,-0.9002047,0.0084094
1.8900000000000008,9.85380443,7.5622916,0.56962967,2.4623682,0.11239254,0.046473272,-0.90622115,0.011436157
1.9000000000000008,9.961911155,7.574412,0.3776308,2.4553986,0.13861023,0.026362773,-0.83434135,0.01719153
1.9100000000000008,10.075921606,7.5755134,0.2716376,2.4507318,0.13976993,0.012786763,-0.834653,0.021138856
1.9200000000000008,10.184266126,7.5784883,0.18024121,2.4461787,0.1450759,-0.0032841694,-0.8417129,0.025017777
1.9300000000000008,10.297711796,7.5795903,0.07424801,2.4418397,0.14760606,-0.020175476,-0.8401336,0.028746432
1.9400000000000008,10.409938917,7.582565,-0.017148377,2.4381533,0.14285117,-0.04009914,-0.84843266,0.031972878
1.9500000000000008,10.525986959,7.5774965,-0.11393546,2.4363015,0.13021041,-0.055967413,-0.8542285,0.03374786
1.9600000000000009,10.629788444,7.572428,-0.21072255,2.435778,0.13353068,-0.071286164,-0.85028034,0.03446878
1.9700000000000009,10.737151123,7.569233,-0.2929128,2.4362445,0.12648107,-0.090265624,-0.85948986,0.03440021
1.9800000000000009,10.849615505,7.5579944,-0.38049376,2.4373946,0.117387295,-0.10547539,-0.86682516,0.03378495
1.9900000000000009,10.968467732,7.5416875,-0.56486183,2.4406948,0.16245772,-0.119792566,-0.79976106,0.031444445
2.000000000000001,11.074299487,7.5304494,-0.65244275,2.4427414,0.15518764,-0.13674615,-0.79957986,0.03009142
2.0100000000000007,11.173819875,7.519211,-0.74002373,2.4449706,0.16012311,-0.15351325,-0.79401565,0.028581709
2.0200000000000005,11.268696932,7.5079722,-0.8276047,2.4469242,0.16425732,-0.17030588,-0.78427213,0.027281348
2.0300000000000002,11.382296633,7.4967337,-0.9151857,2.4480448,0.15604424,-0.19368105,-0.78497905,0.026637401
2.04,11.502031153,7.4854956,-1.0027666,2.449115,0.1610615,-0.22063251,-0.78768927,0.0260293
2.05,11.606858485,7.4680867,-1.0811415,2.4505014,0.15159918,-0.2397788,-0.7870363,0.025164597
2.0599999999999996,11.718186317,7.4506783,-1.1595163,2.451569,0.15266,-0.2625112,-0.78852713,0.024549186
2.0699999999999994,11.827004607,7.425226,-1.2432818,2.4528637,0.15064335,-0.2795487,-0.7824774,0.0237481
2.079999999999999,12.008046423,7.382366,-1.4054222,2.4545965,0.15765662,-0.31053922,-0.7502116,0.022589747
2.089999999999999,12.105785312,7.3649573,-1.4837971,2.4555476,0.16010636,-0.33375555,-0.73764217,0.022050016
2.0999999999999988,12.224604096,7.3333354,-1.5583565,2.4572463,0.14546525,-0.355174,-0.7367818,0.020908128
2.1099999999999985,12.323512128,7.3078837,-1.642122,2.4598203,0.1477389,-0.37511685,-0.7168199,0.019057728
